1/11/98,Mercedes Championships,1700000,271,-17,Phil Mickelson,,306000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/12/97,Mercedes Championships,1200000,202,-14,Tiger Woods ,p,216000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/7/96,Mercedes Championships,1000000,271,-17,Mark O'Meara,,180000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/8/95,Mercedes Championships,1000000,278,-10,Steve Elkington ,p,180000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/9/94,Mercedes Championships,1000000,276,-12,Phil Mickelson ,p,180000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/10/93,Infiniti Tournament of Champions,800000,272,-16,Davis Love III,,144000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/12/92,Infiniti Tournament of Champions,800000,279,-9,Steve Elkington ,p,144000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/6/91,Infiniti Tournament of Champions,800000,272,-16,Tom Kite,,144000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/7/90,MONY Tournament of Champions,750000,272,-16,Paul Azinger,,135000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/8/89,MONY Tournament of Champions,750000,279,-9,Steve Jones,,135000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/17/88,MONY Tournament of Champions,500000,202,-14,Steve Pate,,90000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/10/87,MONY Tournament of Champions,500000,278,-10,Mac O'Grady,,90000,La Costa CC, Carlsbad, CA ,,72,7022,,
1/11/86,MONY Tournament of Champions,500000,267,-21,Calvin Peete,,90000,La Costa CC, Carlsbad, CA ,,72,7022,,
5/5/85,MONY Tournament of Champions,400000,275,-13,Tom Kite,,72000,La Costa CC, Carlsbad, CA ,,72,7022,,
5/6/84,MONY Tournament of Champions,400000,274,-14,Tom Watson,,72000,La Costa CC, Carlsbad, CA ,,72,7022,,
4/24/83,MONY Tournament of Champions,400000,280,-8,Lanny Wadkins,,72000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/18/82,MONY Tournament of Champions,350000,280,-8,Lanny Wadkins,,63000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/19/81,MONY Tournament of Champions,300000,273,-15,Lee Trevino,,54000,La Costa CC, Carlsbad, CA ,,72,6911,,
4/20/80,MONY Tournament of Champions,300000,276,-12,Tom Watson,,54000,La Costa CC, Carlsbad, CA ,,72,6911,,
