,"year","rank","player_name","rounds","putting_avg","gir_putts","greens_hit","birdie_conversion"
276,1987,"
        T98","
Rick Dalpos
",91,1.807,1877,1039,2.65
277,1987,"
        T98","
Danny Edwards
",77,1.807,1702,942,2.52
278,1987,"
        T101","
Hale Irwin
",70,1.809,1494,826,2.49
279,1987,"
        T101","
Bob Lohr
",103,1.809,2223,1229,2.7
280,1987,"
        T101","
Kenny Perry
",77,1.809,1757,971,2.74
281,1987,"
        T101","
D.A. Weibring
",87,1.809,1834,1014,2.7
282,1987,"
        T101","
Robert Wrenn
",76,1.809,1615,893,2.51
283,1987,"
        T106","
Curt Byrum
",111,1.81,2534,1400,2.75
284,1987,"
        T106","
Ken Green
",93,1.81,2011,1111,2.88
285,1987,"
        T106","
Clarence Rose
",114,1.81,2546,1407,2.54
286,1987,"
        T109","
Dave Barr
",94,1.811,2161,1193,2.6
287,1987,"
        T109","
Denny Hepler
",56,1.811,1099,607,2.72
288,1987,"
        111","
Mark Pfeil
",53,1.812,1067,589,2.6
289,1987,"
        T112","
Ed Dougherty
",84,1.813,1869,1031,2.51
290,1987,"
        T112","
John Mahaffey
",103,1.813,2397,1322,2.35
291,1987,"
        T114","
Jay Delsing
",96,1.814,2053,1132,2.56
292,1987,"
        T114","
Peter Jacobsen
",84,1.814,1856,1023,2.62
293,1987,"
        T114","
Mark Lye
",104,1.814,2305,1271,2.5
294,1987,"
        T114","
Andy North
",60,1.814,1246,687,2.65
295,1987,"
        T114","
Ray Stewart
",86,1.814,1772,977,2.69
296,1987,"
        T114","
Leonard Thompson
",102,1.814,2226,1227,2.58
297,1987,"
        T120","
Mark McCumber
",103,1.815,2380,1311,2.78
298,1987,"
        T120","
Pat McGowan
",90,1.815,1806,995,2.67
299,1987,"
        T120","
Fred Wadsworth
",104,1.815,2109,1162,2.72
300,1987,"
        123","
Trevor Dodds
",79,1.816,1703,938,2.7
301,1987,"
        T124","
T.C. Chen
",53,1.817,1163,640,2.72
302,1987,"
        T124","
Andrew Magee
",94,1.817,2101,1156,2.61
303,1987,"
        T124","
Don Shirey Jr.
",84,1.817,1884,1037,2.78
304,1987,"
        T127","
Antonio Cerda
",91,1.818,1925,1059,2.59
305,1987,"
        T127","
Lennie Clements
",78,1.818,1754,965,2.52
306,1987,"
        T127","
Hubert Green
",71,1.818,1407,774,2.61
307,1987,"
        T130","
Mac O'Grady
",87,1.819,1946,1070,2.79
308,1987,"
        T130","
Dave Stockton
",56,1.819,1088,598,2.59
309,1987,"
        T132","
David Graham
",60,1.82,1234,678,2.46
310,1987,"
        T132","
Tom Purtzer
",93,1.82,2078,1142,2.81
311,1987,"
        T134","
Bill Britton
",82,1.821,1768,971,2.47
312,1987,"
        T134","
Dave Eichelberger
",95,1.821,1983,1089,2.56
313,1987,"
        T134","
Blaine McCallister
",106,1.821,2309,1268,2.63
314,1987,"
        T134","
Mike Nicolette
",51,1.821,1071,588,2.53
315,1987,"
        T134","
Aki Ohmachi
",78,1.821,1661,912,2.64
316,1987,"
        T134","
Bruce Soulsby
",86,1.821,1894,1040,2.62
317,1987,"
        T140","
Vance Heafner
",82,1.822,1694,930,2.54
318,1987,"
        T140","
Tim Norris
",92,1.822,2006,1101,2.52
319,1987,"
        T142","
Ted Lehmann
",64,1.823,1156,634,2.49
320,1987,"
        T142","
Jim Nelford
",79,1.823,1564,858,2.46
321,1987,"
        T144","
Bobby Cole
",97,1.824,2174,1192,2.46
322,1987,"
        T144","
Dan Halldorson
",87,1.824,1933,1060,2.53
323,1987,"
        T146","
Mark Brooks
",93,1.825,1891,1036,2.55
324,1987,"
        T146","
Philip Jonas
",60,1.825,1113,610,2.46
325,1987,"
        T146","
Bill Rogers
",75,1.825,1613,884,2.4
326,1987,"
        T146","
Doug Tewell
",76,1.825,1725,945,2.49
327,1987,"
        T150","
Steve Elkington
",101,1.826,2210,1210,2.58
328,1987,"
        T150","
Billy Kratzert
",86,1.826,1826,1000,2.43
329,1987,"
        T150","
Joey Sindelar
",113,1.826,2531,1386,2.76
330,1987,"
        T153","
Jim Gallagher Jr.
",102,1.827,2130,1166,2.59
331,1987,"
        T153","
Calvin Peete
",64,1.827,1456,797,2.38
332,1987,"
        T153","
Loren Roberts
",82,1.827,1787,978,2.45
333,1987,"
        T153","
Scott Verplank
",85,1.827,1818,995,2.71
334,1987,"
        157","
Tony Grimes
",63,1.828,1307,715,2.56
335,1987,"
        158","
Woody Blackburn
",55,1.83,979,535,2.62
336,1987,"
        T159","
John Horne
",61,1.831,1194,652,2.5
337,1987,"
        T159","
Rocco Mediate
",93,1.831,2082,1137,2.61
338,1987,"
        T161","
Ernie Gonzalez
",105,1.832,2127,1161,2.66
339,1987,"
        T161","
David Hobby
",66,1.832,1312,716,2.42
340,1987,"
        163","
Jim Simons
",55,1.833,1129,616,2.35
341,1987,"
        T164","
Mike Bender
",79,1.834,1618,882,2.55
342,1987,"
        T164","
Mike Hulbert
",114,1.834,2569,1401,2.51
343,1987,"
        T164","
Bruce Lietzke
",69,1.834,1660,905,2.4
344,1987,"
        167","
Barry Jaeckel
",98,1.835,2088,1138,2.36
345,1987,"
        168","
Bill Glasson
",92,1.837,2101,1144,2.63
346,1987,"
        169","
Brad Greer
",75,1.838,1551,844,2.75
347,1987,"
        T170","
Ray Barr Jr.
",79,1.839,1714,932,2.44
348,1987,"
        T170","
Andy Bean
",55,1.839,1201,653,2.79
349,1987,"
        T170","
Mike Smith
",74,1.839,1622,882,2.29
350,1987,"
        173","
Tom Garner
",80,1.841,1694,920,2.29
351,1987,"
        174","
Brett Upper
",81,1.845,1740,943,2.45
352,1987,"
        175","
Jeff Lewis
",62,1.846,1287,697,2.55
353,1987,"
        176","
Tony Sills
",92,1.848,2061,1115,2.31
354,1987,"
        177","
Duffy Waldorf
",91,1.849,2060,1114,2.42
355,1987,"
        178","
Robert Thompson
",73,1.85,1645,889,2.17
356,1987,"
        179","
John McComish
",70,1.852,1611,870,2.45
357,1987,"
        180","
Jim Thorpe
",58,1.853,1208,652,2.29
358,1987,"
        181","
David Ogrin
",92,1.854,2056,1109,2.28
359,1987,"
        T182","
Doug Johnson
",73,1.856,1464,789,2.31
360,1987,"
        T182","
Harry Taylor
",81,1.856,1854,999,2.18
361,1987,"
        184","
Ted Schulz
",72,1.859,1578,849,2.14
362,1987,"
        185","
David Canipe
",84,1.862,1896,1018,2.31
363,1987,"
        186","
David Peoples
",71,1.864,1534,823,2.38
364,1987,"
        187","
Jim Wilson
",62,1.869,1254,671,2.18
365,1987,"
        188","
John Riegger
",56,1.87,1152,616,2.27
366,1988,"
        1","
Don Pooley
",79,1.729,1501,868,3.24
367,1988,"
        T2","
Morris Hatalsky
",72,1.731,1418,819,2.94
368,1988,"
        T2","
Sandy Lyle
",63,1.731,1241,717,3.32
369,1988,"
        4","
Paul Azinger
",92,1.736,1939,1117,3.31
370,1988,"
        T5","
Dan Forsman
",122,1.74,2552,1467,3.17
371,1988,"
        T5","
Ken Green
",96,1.74,2011,1156,3.34
372,1988,"
        T7","
Nick Price
",84,1.741,1708,981,3.19
373,1988,"
        T7","
Willie Wood
",80,1.741,1475,847,2.82
374,1988,"
        9","
Ben Crenshaw
",98,1.742,2144,1231,3.05
375,1988,"
        10","
Payne Stewart
",103,1.743,2212,1269,3.25
376,1988,"
        11","
Dave Rummells
",112,1.744,2376,1362,3.17
377,1988,"
        T12","
Raymond Floyd
",68,1.748,1351,773,3
378,1988,"
        T12","
Lanny Wadkins
",94,1.748,1958,1120,3.17
379,1988,"
        T14","
Greg Norman
",52,1.75,1036,592,3.46
