winner_id,cal_year,player_id,winner,wins
637,1979,1682,Wayne Levi,1
638,1980,1068,Andy Bean,1
639,1980,1235,Ben Crenshaw,1
640,1980,1648,Billy Kratzert,1
641,1980,1414,Bob Gilder,1
642,1980,1690,Bruce Lietzke,1
643,1980,2133,Craig Stadler,2
644,1980,2159,Curtis Strange,2
645,1980,1469,Dan Halldorson,1
646,1980,1310,Dave Eichelberger,1
647,1980,1436,David Graham,1
648,1980,1960,Don Pooley,1
649,1980,2190,Doug Tewell,2
650,1980,1150,George Burns,1
651,1980,2225,Howard Twitty,1
652,1980,1869,Jack Nicklaus,2
653,1980,1821,Jeff Mitchell,1
654,1980,1205,Jim Colbert,1
655,1980,1725,John Mahaffey,1
656,1980,1815,Johnny Miller,1
657,1980,1864,Larry Nelson,1
658,1980,2213,Lee Trevino,3
659,1980,1949,Mark Pfeil,1
660,1980,2167,Mike Sullivan,1
661,1980,1569,Peter Jacobsen,1
662,1980,1477,Phillip Hancock,1
663,1980,1355,Raymond Floyd,1
664,1980,1527,Scott Hoch,1
665,1980,2099,Scott Simpson,1
666,1980,1051,Seve Ballesteros,1
667,1980,2256,Tom Watson,7
668,1980,1682,Wayne Levi,1
669,1981,1068,Andy Bean,1
670,1981,2016,Bill Rogers,4
671,1981,1690,Bruce Lietzke,3
672,1981,2133,Craig Stadler,1
673,1981,1060,Dave Barr,1
674,1981,1310,Dave Eichelberger,1
675,1981,1436,David Graham,2
676,1981,1346,Ed Fiori,1
677,1981,2321,Fuzzy Zoeller,1
678,1981,1559,Hale Irwin,2
679,1981,1443,Hubert Green,1
680,1981,2118,J.C. Snead,1
681,1981,1998,Jack Renner,1
682,1981,1457,Jay Haas,2
683,1981,1925,Jerry Pate,2
684,1981,1219,John Cook,1
685,1981,1725,John Mahaffey,1
686,1981,1815,Johnny Miller,2
687,1981,1334,Keith Fergus,1
688,1981,1864,Larry Nelson,2
689,1981,2213,Lee Trevino,1
690,1981,1495,Morris Hatalsky,1
691,1981,1897,Peter Oosterhuis,1
692,1981,1355,Raymond Floyd,3
693,1981,2160,Ron Streck,1
694,1981,1633,Tom Kite,1
695,1981,2256,Tom Watson,3
696,1981,2268,Tom Weiskopf,1
697,1982,1068,Andy Bean,1
698,1982,1414,Bob Gilder,3
