win_id,cal_year,player_id,winner,wins,team_wins
496,1974,1994,Victor Regalado,1,NULL
497,1975,1401,Al Geiberger,2,NULL
498,1975,2247,Art Wall,1,NULL
499,1975,1177,Billy Casper,1,NULL
500,1975,1851,Bob Murphy,1,NULL
501,1975,1233,Bruce Crampton,1,NULL
502,1975,1519,Dave Hill,1,NULL
503,1975,1993,Dean Refram,0,1
504,1975,1087,Don Bies,1,NULL
505,1975,1562,Don Iverson,1,NULL
506,1975,1576,Don January,1,NULL
507,1975,1450,Gary Groh,1,NULL
508,1975,1695,Gene Littler,3,NULL
509,1975,1559,Hale Irwin,2,NULL
510,1975,1443,Hubert Green,1,NULL
511,1975,2118,J.C. Snead,1,NULL
512,1975,1869,Jack Nicklaus,5,NULL
513,1975,1786,Jerry McGee,1,NULL
514,1975,1205,Jim Colbert,0,1
515,1975,1815,Johnny Miller,4,NULL
516,1975,2317,Larry Ziegler,1,NULL
517,1975,2213,Lee Trevino,1,NULL
518,1975,1438,Lou Graham,1,NULL
519,1975,1350,Pat Fitzsimons,1,NULL
520,1975,1355,Raymond Floyd,1,NULL
521,1975,1753,Rik Massengale,1,NULL
522,1975,1736,Roger Maltbie,2,NULL
523,1975,1578,Tom Jenkins,1,NULL
524,1975,2256,Tom Watson,2,NULL
525,1975,2268,Tom Weiskopf,2,NULL
526,1976,1401,Al Geiberger,2,NULL
527,1976,1235,Ben Crenshaw,3,NULL
528,1976,1648,Billy Kratzert,0,1
529,1976,1414,Bob Gilder,1,NULL
530,1976,2305,Bob Wynn,1,NULL
531,1976,1017,Bud Allin,1,NULL
532,1976,1045,Butch Baird,1,NULL
533,1976,1519,Dave Hill,1,NULL
534,1976,2152,Dave Stockton,1,NULL
535,1976,1436,David Graham,2,NULL
536,1976,1576,Don January,1,NULL
537,1976,1641,Gary Koch,1,NULL
538,1976,1033,George Archer,1,NULL
539,1976,1412,Gibby Gilbert,1,NULL
540,1976,1559,Hale Irwin,2,NULL
541,1976,1443,Hubert Green,3,NULL
542,1976,2118,J.C. Snead,2,NULL
543,1976,1869,Jack Nicklaus,2,NULL
544,1976,1925,Jerry Pate,2,NULL
545,1976,1556,Joe Inman,1,NULL
546,1976,1694,John Lister,1,NULL
547,1976,1815,Johnny Miller,3,NULL
548,1976,2317,Larry Ziegler,1,NULL
549,1976,1312,Lee Elder,1,NULL
550,1976,2213,Lee Trevino,1,NULL
551,1976,1793,Mac McLendon,1,NULL
552,1976,1499,Mark Hayes,2,NULL
553,1976,1355,Raymond Floyd,2,NULL
554,1976,1753,Rik Massengale,1,NULL
555,1976,1736,Roger Maltbie,1,NULL
556,1976,1633,Tom Kite,1,NULL
557,1976,1095,Woody Blackburn,0,1
558,1977,1401,Al Geiberger,1,NULL
559,1977,1068,Andy Bean,1,NULL
560,1977,1878,Andy North,1,NULL
561,1977,1235,Ben Crenshaw,1,NULL
562,1977,1648,Billy Kratzert,1,NULL
563,1977,1206,Bobby Cole,1,NULL
564,1977,1690,Bruce Lietzke,2,NULL
565,1977,1305,Danny Edwards,1,NULL
566,1977,1310,Dave Eichelberger,1,NULL
567,1977,2120,Ed Sneed,1,NULL
568,1977,1641,Gary Koch,1,NULL
569,1977,1695,Gene Littler,1,NULL
570,1977,1412,Gibby Gilbert,0,1
571,1977,1837,Gil Morgan,1,NULL
572,1977,1744,Graham Marsh,1,NULL
573,1977,1597,Grier Jones,0,1
574,1977,1559,Hale Irwin,3,NULL
575,1977,1443,Hubert Green,1,NULL
576,1977,1869,Jack Nicklaus,3,NULL
577,1977,1786,Jerry McGee,1,NULL
578,1977,1925,Jerry Pate,2,NULL
579,1977,2098,Jim Simons,1,NULL
580,1977,2242,Lanny Wadkins,2,NULL
581,1977,2213,Lee Trevino,1,NULL
582,1977,2195,Leonard Thompson,1,NULL
583,1977,1499,Mark Hayes,1,NULL
584,1977,1520,Mike Hill,1,NULL
585,1977,1838,Mike Morley,1,NULL
586,1977,1057,Miller Barber,1,NULL
587,1977,1355,Raymond Floyd,2,NULL
588,1977,1753,Rik Massengale,1,NULL
589,1977,1975,Tom Purtzer,1,NULL
590,1977,2256,Tom Watson,5,NULL
591,1977,2268,Tom Weiskopf,1,NULL
592,1978,1068,Andy Bean,3,NULL
593,1978,1878,Andy North,1,NULL
594,1978,1571,Barry Jaeckel,1,NULL
595,1978,2016,Bill Rogers,1,NULL
596,1978,1738,Bob Mann,0,1
597,1978,1690,Bruce Lietzke,1,NULL
598,1978,1955,Gary Player,3,NULL
599,1978,1837,Gil Morgan,2,NULL
600,1978,1443,Hubert Green,2,NULL
601,1978,1866,Jack Newton,1,NULL
602,1978,1869,Jack Nicklaus,4,NULL
603,1978,1457,Jay Haas,1,NULL
604,1978,1502,Jerry Heard,1,NULL
605,1978,1925,Jerry Pate,1,NULL
606,1978,2098,Jim Simons,1,NULL
607,1978,1725,John Mahaffey,2,NULL
608,1978,1312,Lee Elder,2,NULL
609,1978,2213,Lee Trevino,1,NULL
610,1978,1522,Lon Hinkle,1,NULL
611,1978,1793,Mac McLendon,2,NULL
612,1978,1057,Miller Barber,1,NULL
613,1978,11421,Rod Funseth,1,NULL
614,1978,2160,Ron Streck,1,NULL
615,1978,1051,Seve Ballesteros,1,NULL
616,1978,1633,Tom Kite,1,NULL
617,1978,2256,Tom Watson,5,NULL
618,1978,2268,Tom Weiskopf,1,NULL
619,1978,1994,Victor Regalado,1,NULL
620,1978,1682,Wayne Levi,0,1
621,1979,1401,Al Geiberger,1,NULL
622,1979,1068,Andy Bean,1,NULL
